params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,total_running_time
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 300}",,,669,2.404389476776123,0.054374804864091714,0.0,0.0,2.404389476776123
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 500}",,,668,2.4446604251861572,0.021286402808423272,0.0,0.0,2.4446604251861572
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",,,667,2.253855752944946,0.018630769929023985,0.0,0.0,2.253855752944946
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",,,666,2.37543044090271,0.028244102382087913,0.0,0.0,2.37543044090271
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",,,665,2.4187760829925535,0.019472397990445013,0.0,0.0,2.4187760829925535
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",,,664,2.2599042415618897,0.02879822911196104,0.0,0.0,2.2599042415618897
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",,,663,2.369198131561279,0.039600144904194924,0.0,0.0,2.369198131561279
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",,,660,2.4379176616668703,0.024293773530454508,0.0,0.0,2.4379176616668703
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 100}",,,661,2.255313777923584,0.0169868654822388,0.0,0.0,2.255313777923584
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 300}",,,671,2.359551763534546,0.015326680604470285,0.0,0.0,2.359551763534546
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 500}",,,659,2.438630771636963,0.031529636251399054,0.0,0.0,2.438630771636963
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",,,658,2.260631227493286,0.016843171078677912,0.0,0.0,2.260631227493286
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",,,657,2.36469407081604,0.01965258558208926,0.0,0.0,2.36469407081604
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",,,656,2.4369922637939454,0.01630304485888006,0.0,0.0,2.4369922637939454
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",,,655,2.2680521965026856,0.02408184260128928,0.0,0.0,2.2680521965026856
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",,,654,2.3477582931518555,0.026143537377908477,0.0,0.0,2.3477582931518555
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",,,653,2.4355984687805177,0.01908541449785542,0.0,0.0,2.4355984687805177
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 100}",,,652,2.246696662902832,0.008033789731581727,0.0,0.0,2.246696662902832
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 300}",,,651,2.357656478881836,0.03845203713483019,0.0,0.0,2.357656478881836
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 500}",,,700,2.447344207763672,0.018060319070250273,0.0,0.0,2.447344207763672
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",,,699,2.2507084369659425,0.011910640153744607,0.0,0.0,2.2507084369659425
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",,,674,2.352393293380737,0.010690902137207314,0.0,0.0,2.352393293380737
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",,,687,2.4375678062438966,0.04022143737293558,0.0,0.0,2.4375678062438966
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",,,673,2.268534517288208,0.03379020926607265,0.0,0.0,2.268534517288208
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 43.37049688440288, 'rr_classifier__min_samples_leaf': 5, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",,,662,2.3510545253753663,0.03174260554555298,0.0,0.0,2.3510545253753663
